"Leading University
Department of Computer Science & Engineering
Class Routine, Spring-2024",,,,,,,,,7-Jun-2024
FRIDAY,Section,Batch,08:55-9:45AM,9:50-10:40AM,10:45-11:35AM,11:40-12:30PM,12:30-2:10PM,2:15-3:05PM,3:10-4:00PM
,63,A,,,,,Prayer Break,,
,63,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,A,GED-1201 (A) RAB-111,GED-1201 (A) RAB-111,GED-1171 (A) RKB-402,GED-1171 (A) RKB-402,,,
,62,B,GED-1231 (B) G2,GED-1231 (B) G2,MAT-1251 (B) KJH RAB-302,MAT-1251 (B) KJH RAB-302,,GED-1201 (B) RAB-111,GED-1201 (B) RAB-111
,62,C,GED-1171 (C) RKB-402,GED-1171 (C) RKB-402,GED-1231 (C) G2,GED-1231 (C) G2,,,
,62,D,GED-1231 (D) G3,GED-1231 (D) G3,GED-1201 (D) RAB-111,GED-1201 (D) RAB-111,,,
,62,E,GED-1201 (E) RKB-403,GED-1201 (E) RKB-403,GED-1231 (E) G3,GED-1231 (E) G3,,GED-1171 (E) RAB-302,GED-1171 (E) RAB-302
,62,F,,MAT-1251 (F) KJH RAB-304,GED-1201 (F) RKB-403,GED-1201 (F) RKB-403,,GED-1171 (F) G3,GED-1171 (F) G3
,62,G,CSE-1212 (G) SAZ ACL-2,CSE-1211 (G) SAZ RAB-310,EEE-1222 (G) FTI ECL,EEE-1222 (G) FTI ECL,,EEE-1221 (G) FTI RAB-311,EEE-1221 (G) FTI RAB-311
,62,H,CSE-1211 (H) DCP RAB-309,CSE-1211 (H) DCP RAB-309,CSE-1212 (H) DCP ACL-3,,,,
,62,I,EEE-1222 (I) KMN ECL,EEE-1222 (I) KMN ECL,EEE-1221 (I) KMN RAB-401,EEE-1221 (I) KMN RAB-401,,,
,61,A,PHY-2171 (A) *** RAB-308,PHY-2171 (A) *** RAB-308,EEE-2121 (A) MKH RAB-402,EEE-2122(A) MKH RAB-402,,GED-1161 (A) RAB-401,GED-1161 (A) RAB-401
,61,B,,,,,,,
,61,C,EEE-2121 (C) KLK RAB-302,EEE-2122 (C) KLK RAB-302,GED-1161 (C) RAB-306,,,,
,61,D,GED-2192 (D) GL,GED-2192 (D) GL,PHY-2171 (D) NP1 RAB-308,PHY-2171 (D) NP1 RAB-308,,GED-1161 (D) RAB-306,GED-1161 (D) RAB-306
,61,E,GED-1161 (E) RAB-306,GED-1161 (E) RAB-306,GED-2192 (E) GL,GED-2192 (E) GL,,PHY-2171 (E) NP1 RAB-309,PHY-2171 (E) NP1 RAB-309
,60,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,E,CSE-2212 (E) N1 ACL-3,CSE-2212 (E) N1 ACL-3,CSE-2211 (E) N1 RAB-304,CSE-2231 (E) STA RAB-304,,GED-3211 (E) RAB-206,GED-3211 (E) RAB-206
,60,F,CSE-2231 (F) STA RAB-304,CSE-2212 (F) JAC ACL-2,CSE-2211 (F) JAC RAB-309,CSE-2211 (F) JAC RAB-309,,CSE-2212 (F) JAC ACL-2,CSE-2212 (F) JAC ACL-2
,59,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,D,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,E,,,,,,,,,,,,,,,,,,,,,,,,,
,58,A,,,,,,,,,,,,,,,,,,,,,
,58,B+C,,,,,,,,,,,,,,,,,,,
,57,A+B,,,,,,,,,,,,,,,,,,
,56,,,,,,,,
,54+55,,,,,,,,
,,,,,,,,,
,,,,,,EBH,,,
,,,"NL, ACL-2, ACL-3,ACL-1","NL, ACL-2, ACL-3,ACL-1","NL, ACL-2, ACL-3,ACL-1","ACL-2,ACL-3,ACL-1,NL",,"ACL-2,ACL-3,NL","ACL-2,ACL-3,NL"
,ACM,,ACM-2000 (JUNIOR)  PRB ACL-1,,,ACM-1000 (SENIOR) DCP ACL-1,,ACM-1000 (SENIOR) DCP ACL-1,
,BUS TIME,,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,,
,STUDENT NO.,,500,200,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,63 Batch Section Distribution,,,,,
,,,,,,,,,
,,,,Section,Starting ID,Ending ID,,,
,,,,,,,,,
,,,,A,............001,............045,,,
,,,,B,............046,............090,,,
,,,,C,............091,............135,,,
,,,,D,............136,............180,,,
,,,,E,............181,............225,,,
,,,,F,............226,............270,,,
,,,,G,............271,............315,,,
,,,,H,............316,............360,,,
,,,,I,............361,............405,,,
,,,,"Note: GED Section for GED Courses of Section G and Section H is different. 
Check routine to learn your section for any specific course.",,,,,
