"Leading University
Department of Computer Science & Engineering
Class Routine, Spring-2024",,,,,,,,,,7-Jun-2024
MONDAY,Batch,Section,08:55-9:45AM,9:50-10:40AM,10:45-11:35AM,11:40-12:30PM,12:35-1:25PM,1:30-2:10PM,2:15-3:05PM,3:10-4:00PM
,63,A,GED-1262 (A) ACL-3,GED-1262 (A) ACL-3,CSE-1102 (A) EBH NL,,GED-1122 (A) AHQ GL,GED-1122 (A) AHQ GL,GED-1145 (A) G2,GED-1145 (A) G2
,63,B,,,,,,,,
,63,C,,,,MAT-1151 (C) ABR RAB-309,CSE-1102 (C) EBH ACL-2,,GED-1262 (C) ACL-3,GED-1262 (C) ACL-3
,63,D,CSE-1101 (D) MSR RAB-309,CSE-1101 (D) MSR RAB-309,CSE-1151 (D) STA RAB-304,CSE-1151 (D) STA RAB-304,,MAT-1151 (D) AMH RAB-304,GED-1122 (D) AHQ GL,GED-1122 (D) AHQ GL
,63,E,CSE-1151 (E) STA RAB-304,CSE-1151 (E) STA RAB-304,GED-1262 (E) ACL-3,GED-1262 (E) ACL-3,,,CSE-1102 (E) PRP ACL-2,CSE-1102 (E) PRP ACL-2
,63,F,CSE-1102 (F) RIR NL,CSE-1102 (F) RIR NL,MAT-1151 (F) AMH RAB-202,,GED-1262 (F) ACL-3,GED-1262 (F) ACL-3,CSE-1151 (F) STA RAB-304,CSE-1151 (F) STA RAB-304
,62,A,PHY-1272 (A) NP-3 Phy.L,PHY-1272 (A) NP-3 Phy.L,PHY-1272 (A) NP-3 Phy.L,EEE-1221 (A) IAC RAB-206,,,,
,62,B,,,,,,,,
,62,C,,,,,,,,
,62,D,,,,,CSE-1211 (D) MJR RAB-309,CSE-1211 (D) MJR RAB-309,CSE-1212 (D) MJR NL,CSE-1212 (D) MJR NL
,62,E,EEE-1221 (E) AFB RKB-304,EEE-1221 (E) AFB RKB-304,,,CSE-1212 (E) DCP ACL-1,CSE-1212 (E) DCP ACL-1,,CSE-1211 (E) DCP RAB-206
,62,F,CSE-1212 (F) DCP ACL-1,CSE-1212 (F) DCP ACL-1,CSE-1211 (F) DCP RKB-103,EEE-1222 (F) PPD RKB-103,,EEE-1221 (F) IAC RAB-202,EEE-1222 (F) PPD ECL,EEE-1222 (F) PPD ECL
,62,G,,,,,,,,
,62,H,,,,CSE-1211 (H) DCP RAB-302,EEE-1221 (H) STH RKB-403,EEE-1221 (H) STH RKB-403,MAT-1251 (H) ABR RAB-306,MAT-1251 (H) ABR RAB-306
,62,I,,,,,,,,
,61,A,CSE-2111 (A) PRB RKB-103,CSE-2111 (A) PRB RKB-103,CSE-2112 (A) PRB ACL-1,CSE-2112 (A) PRB ACL-1,,MAT-2151 (A) SAB RKB-106,MAT-2151 (A) SAB RKB-106,GED-1161 (A) *** RKB-402
,61,B,EEE-2121 (B) KLK RKB-405,EEE-2121 (B) KLK RKB-405,MAT-2151 (B) SAB RAB-306,,,CSE-2111 (B) PRB RAB-306,CSE-2112 (B) PRB ACL-1,CSE-2112 (B) PRB ACL-1
,61,C,,,,,,,,
,61,D,,,,,,,,
,61,E,,,GED-2181 (E) G2,GED-2181 (E) G2,,,EEE-2121 (E) FTI RKB-104,EEE-2121 (E) FTI RKB-104
,60,A,,,,,,,,
,60,B,,,,,,,,
