0,,,,,,,,,,14-Jul-2024,,,
SUNDAY,Batch,Section,08:55-9:45AM,9:50-10:40AM,10:45-11:35AM,11:40-12:30PM,12:35-1:25PM,1:30-2:10PM,2:15-3:05PM,3:10-4:00PM,4:05-4:55PM,OL Class 7:00pm-7:50pm,OL Class 8:00pm-8:50pm
,64,A,GED-1131 (A) OKM RAB-111,GED-1131 (A) OKM RAB-111,,,CSE-1101 RLP RAB-302,CSE-1101 RLP RAB-302,GED-1145 (A) FHJ G2,GED-1145 (A) FHJ G2,,,
,64,B,CSE-1101 RLP RAB-302,CSE-1101 RLP RAB-302,,,GED-1145 (B) TSC RKB-403,GED-1145 (B) TSC RKB-403,GED-1131 (B) MAO RAB-111,GED-1131 (B) MAO RAB-111,,,
,64,C,CSE-1151 STA RAB-304,CSE-1151 STA RAB-304,CSE-1101 RLP RAB-302,CSE-1101 RLP RAB-302,,,,,,,
,64,D,,,,,GED-1131 (D) OKM RAB-111,GED-1131 (D) OKM RAB-111,GED-1145 (D) BU G3,GED-1145 (D) BU G3,,,
,64,E,,,CSE-1151 STA RAB-304,CSE-1151 STA RAB-304,,MAT-1151 SMN RKB-405,GED-1145 (E) TBA* RKB-403,GED-1145 (E) TBA* RKB-403,,,
,64,F,,,,,CSE-1151 STA RAB-304,CSE-1151 STA RAB-304,GED-1145 (F) TBA* RKB-402,GED-1145 (F) TBA* RKB-402,,,
,64,G,,,CSE-1102 MJR ACL-2,CSE-1102 MJR ACL-2,MAT-1151 AMH RAB-309,MAT-1151 AMH RAB-309,,,,,
,64,H,CSE-1102 MJR ACL-2,CSE-1102 MJR ACL-2,MAT-1151 SMN RAB-306,MAT-1151 SMN RAB-306,,,,,,,
,63,A,,,,,,,,,,,
,63,B,,,,,,,,,,,
,63,C,,,,,,,,,,,
,63,D,,,,,,,,,,,
,63,E,,,,,,,,,,,
,62,A,,,EEE-2122 KLK ECL,EEE-2122 KLK ECL,,MAT-2151 SAB RKB-103,MAT-2151 SAB RKB-103,,,,
,62,B,,,MAT-2151 SAB RKB-106,,EEE-2122 KLK ECL,EEE-2122 KLK ECL,PHY-2171 TEC RKB-303,PHY-2171 TEC RKB-303,,,
,62,C,,,,,,,,,,,
