"Leading University
Department of Computer Science & Engineering
Class Routine, Spring-2024",,,,,,,,,,7-Jun-2024
SATURDAY,Section,Batch,08:55-9:45AM,9:50-10:40AM,10:45-11:35AM,11:40-12:30PM,12:35-1:25PM,1:30-2:10PM,2:15-3:05PM,3:10-4:00PM
,63,A,CSE-1101 RLP RAB-302,CSE-1101 RLP RAB-302,GED-1131 (A) G2,GED-1131 (A) G2,GED-1262 (A) ACL-3,,,
,63,B,GED-1262 (B) *** ACL-3,CSE-1102 (B) EBH ACL-2,MAT-1151 (B) ABR RAB-311,,CSE-1101 RLP RAB-302,CSE-1101 RLP RAB-302,GED-1131 (B) G2,GED-1131 (B) G2
,63,C,GED-1131 (C) G2,GED-1131 (C) G2,CSE-1101 RLP RAB-302,CSE-1101 RLP RAB-302,,,,
,63,D,,GED-1262 (D) ACL-3,GED-1262 (D) ACL-3,,GED-1131 (D) G2,GED-1131 (D) G2,,
,63,E,,,,,,,,
,63,F,,,,,,,,
,62,A,MAT-1251 (A) KJH RAB-309,MAT-1251 (A) KJH RAB-309,,EEE-1222 (A) IAC RAB-109,,CSE-1211 (A) MJR RAB-402,CSE-1211 (A) MJR RAB-402,CSE-1212 (A) MJR ACL-3
,62,B,EEE-1221 (B) IAC RAB-402,CSE-1211 (B) MJR RAB-401,CSE-1211 (B) MJR RAB-401,CSE-1212 (B) MJR ACL-3,,GED-1171 (B) RAB-311,GED-1171 (B) RAB-311,MAT-1251 (B) KJH RAB-311
,62,C,PHY-1272 (C) NP-1 Phy.L,PHY-1272 (C) NP-1 Phy.L,PHY-1272 (C) NP-1 Phy.L,,MAT-1251 (C) KJH RAB-306,,,
,62,D,,,,,,,,
,62,E,,,,,,,,
,62,F,,,,,,,,
,62,G,GED-1231 (G) G3,GED-1231 (G) G3,MAT-1251 (G) KJH RAB-309,,GED-1171 (G) NHK RAB-401,GED-1171 (G) NHK RAB-401,GED-1201 (G) RKB-403,GED-1201 (G) RKB-403
,62,H,GED-1201 (H) RKB-403,GED-1201 (H) RKB-403,GED-1231 (H) G3,GED-1231 (H) G3,,,GED-1171 (H) NHK RKB-402,GED-1171 (H) NHK RKB-402
,62,I,MAT-1251 (I) ABR RAB-311,MAT-1251 (I) ABR RAB-311,GED-1201 (I) RKB-403,GED-1201 (I) RKB-403,,,GED-1231 (I) G3,GED-1231 (I) G3
,61,A,,,,,,,,
,61,B,,,GED-1161 (B) RAB-111,,PHY-2171 (B) TEC RKB-403,PHY-2171 (B) TEC RKB-403,EEE-2121 (B) KLK RAB-206,EEE-2121 (B) KLK RAB-206
,61,C,,,,GED-1161 (C) RAB-111,GED-1161 (C) RAB-111,,PHY-2171 (C) NP1 RAB-111,PHY-2171 (C) NP1 RAB-111
,61,D,,,,,,,,
,61,E,EEE-2122 (E) FTI ECL,EEE-2122 (E) FTI ECL,,EEE-2121 (E) FTI RAB-311,EEE-2121 (E) FTI RAB-311,CSE-2111 (E) SAZ RAB-403,CSE-2111 (E) SAZ RAB-403,CSE-2112 (E) SAZ ACL-1
,60,A,MAT-2251 (A) SDR RAB-304,MAT-2251 (A) SDR RAB-304,CSE-2212 (A) N1 ACL-1,CSE-2212 (A) N1 ACL-1,,,CSE-2201 (A) ASD RAB-304,CSE-2201 (A) ASD RAB-304
,60,B,,,,,,,,
,60,C,,,,,,,,
,60,D,,,,,,,,
