"Leading University
Department of Computer Science & Engineering
Class Routine, Spring-2024",,,,,,,,,,7-Jun-2024
THURSDAY,Batch,Section,08:55-9:45AM,9:50-10:40AM,10:45-11:35AM,11:40-12:30PM,12:35-1:25PM,1:30-2:10PM,2:15-3:05PM,3:10-4:00PM
,63,A,,,,,,,,
,63,B,,,,,,,,
,63,C,,,,,,,,
,63,D,,,CSE-1151 (D) STA RAB-304,CSE-1102 (D) NJN ACL-2,,GED-1262 (D) ACL-3,GED-1145 (D) G2,GED-1145 (D) G2
,63,E,GED-1262 (E) ACL-3,CSE-1151 (E) STA RAB-304,MAT-1151 (E) AMH RAB-109,MAT-1151 (E) AMH RAB-109,,,CSE-1101 (E) NJN RKB-106,CSE-1101 (E) NJN RKB-106
,63,F,CSE-1101 (F) RWA RKB-103,CSE-1101 (F) RWA RKB-103,GED-1262 (F) ACL-3,CSE-1151 (F) STA RAB-304,,CSE-1102 (F) RIR NL,MAT-1151 (F) AMH RKB-103,MAT-1151 (F) AMH RKB-103
,62,A,,,,,,,,
,62,B,,,,,,,,
,62,C,,,,,,,,
,62,D,PHY-1272 (D) NP-1 PHY.L,PHY-1272 (D) NP-1 PHY.L,PHY-1272 (D) NP-1 PHY.L,,MAT-1251 KJH RAB-302,MAT-1251 KJH RAB-302,,
,62,E,,MAT-1251 (E) KJH RAB-309,MAT-1251 (E) KJH RAB-309,,EEE-1221 (E) AFB RAB-304,EEE-1221 (E) AFB RAB-304,EEE-1222 (E) AFB ECL,EEE-1222 (E) AFB ECL
,62,F,,,,,,,,
,62,G,,EEE-1222 (G) FTI RAB-206,EEE-1221 (G) FTI RAB-206,,,PHY-1272 (G) NP-2 Phy.L,PHY-1272 (G) NP-2 Phy.L,PHY-1272 (G) NP-2 Phy.L
,62,H,,,,,,,,
,62,I,,,,EEE-1221 (I) KMN RKB-105,EEE-1222 (I) KMN RKB-105,CSE-1211 (I) DCP RAB-309,CSE-1211 (I) DCP RAB-309,CSE-1212 (I) DCP ACL-1
,61,A,,,,,,,,
,61,B,,,,,,,,
,61,C,CSE-2111 (C) PRB RAB-306,CSE-2111 (C) PRB RAB-306,CSE-2112 (C) PRB ACL-1,,MAT-2151 (A) SAB RAB-306,MAT-2151 (A) SAB RAB-306,,
,61,D,GED-1161 (D) RKB-403,MAT-2151 (D) SAB RAB-202,,CSE-2112 (D) PRB ACL-1,CSE-2111 (D) PRB RKB-106,CSE-2111 (D) PRB RKB-106,EEE-2121 (D) FTI RAB-206,
,61,E,,GED-1161 (E) RKB-403,MAT-2151 (A) SAB RKB-106,MAT-2151 (A) SAB RKB-106,,,,
,60,A,,,,,,,,
,60,B,MAT-2251 (B) AMH RAB-109,MAT-2251 (B) AMH RAB-109,,CSE-2222 (B) RMS RAB-302,CSE-2222 (B) RMS ECL,CSE-2222 (B) RMS ECL,CSE-2211 (B) N1 RAB-109,CSE-2211 (B) N1 RAB-109
,60,C,CSE-2222 (C) AHQ ECL,CSE-2222 (C) AHQ ECL,CSE-2211 (C) SAZ RAB-306,CSE-2211 (C) SAZ RAB-306,,,CSE-2212 (C) SAZ ACL-2,CSE-2212 (C) SAZ ACL-2
